{ 2022-08-31 20:00:00, Кипр, Испания } - 1
{ 2022-12-20 16:00:00, Польша, Италия } - 1
{ 2022-08-07 11:00:00, Литва, Нидерланды } - 1
{ 2022-02-24 18:00:00, Болгария, Кипр } - 1
{ 2022-06-23 14:00:00, Нидерланды, Польша } - 1
{ 2022-12-26 11:00:00, Швеция, Турция } - 1
{ 2022-01-19 18:00:00, Ирландия, Турция } - 1
{ 2022-10-02 05:00:00, Ирландия, Италия } - 1
{ 2022-03-18 13:00:00, Латвия, Великобритания } - 1
{ 2022-03-09 22:00:00, Франция, Норвегия } - 1
{ 2022-04-17 17:00:00, Турция, Польша } - 1
{ 2022-12-26 04:00:00, Эстония, Италия } - 1
{ 2022-10-22 18:00:00, Кипр, Польша } - 1
{ 2022-04-21 20:00:00, Франция, Ирландия } - 1
{ 2022-06-26 00:00:00, Испания, Болгария } - 1
{ 2022-03-06 00:00:00, Турция, Фарерские острова } - 1
{ 2022-03-09 22:00:00, Россия, Испания } - 1
{ 2022-01-29 09:00:00, Швейцария, Норвегия } - 1
{ 2022-04-22 22:00:00, Сербия, Австрия } - 1
{ 2022-07-02 06:00:00, Ирландия, Греция } - 1
{ 2022-12-12 18:00:00, Россия, Нидерланды } - 1
{ 2022-03-28 03:00:00, Франция, Кипр } - 1
{ 2022-11-27 07:00:00, Германия, Испания } - 1
{ 2022-09-28 11:00:00, Польша, Швейцария } - 1
{ 2022-03-29 22:00:00, Швейцария, Нидерланды } - 1
{ 2022-01-12 18:00:00, Хорватия, Польша } - 1
{ 2022-12-05 05:00:00, Россия, Швейцария } - 1
{ 2022-09-23 02:00:00, Венгрия, Швейцария } - 1
{ 2022-02-24 23:00:00, Испания, Россия } - 1
{ 2022-01-10 01:00:00, Италия, Греция } - 1
{ 2022-08-02 23:00:00, Швейцария, Швейцария } - 1
{ 2022-06-10 09:00:00, Польша, Италия } - 1
{ 2022-04-02 01:00:00, Нидерланды, Фарерские острова } - 1
{ 2022-10-08 00:00:00, Польша, Великобритания } - 1
{ 2022-06-20 03:00:00, Франция, Испания } - 1
{ 2022-02-14 20:00:00, Греция, Германия } - 1
{ 2022-08-31 22:00:00, Испания, Латвия } - 1
{ 2022-07-29 17:00:00, Великобритания, Германия } - 1
{ 2022-02-10 14:00:00, Россия, Россия } - 1
{ 2022-03-19 01:00:00, Великобритания, Греция } - 1
{ 2022-04-07 01:00:00, Кипр, Литва } - 1
{ 2022-09-05 13:00:00, Испания, Швеция } - 1
{ 2022-10-22 14:00:00, Греция, Великобритания } - 1
{ 2022-02-04 05:00:00, Германия, Россия } - 1
{ 2022-07-07 12:00:00, Греция, Германия } - 1
{ 2022-10-14 08:00:00, Германия, Греция } - 1
{ 2022-04-27 04:00:00, Латвия, Россия } - 1
{ 2022-09-13 20:00:00, Швейцария, Испания } - 1
{ 2022-02-20 01:00:00, Германия, Нидерланды } - 1
{ 2022-09-24 05:00:00, Германия, Испания } - 1
{ 2022-09-26 01:00:00, Ирландия, Россия } - 1
{ 2022-07-23 11:00:00, Греция, Германия } - 1
